Model,Developer,Release date,Android version at release,Ref.
Asus PadFone,Asus,2012/06,"Android 4.0 ""Ice Cream Sandwich""",[1]
Asus PadFone 2,Asus,2012/10,"Android 4.0 ""Ice Cream Sandwich""",[2]
Asus PadFone Infinity,Asus,2013/04,"Android 4.1 ""Jelly Bean""",[3]
Asus PadFone Infinity 2,Asus,2013/10,"Android 4.1 ""Jelly Bean""",[4]
Asus PadFone mini,Asus,2013/12,"Android 4.1 ""Jelly Bean""",[5]
Asus PadFone E,Asus,2014/01,"Android 4.1 ""Jelly Bean""",[6]
Asus PadFone Infinity Lite,Asus,2014/02,"Android 4.1 ""Jelly Bean""",[7]
Asus ZenFone 5 (2014),Asus,2014/04,"Android 4.1 ""Jelly Bean""",[8]
Asus ZenFone 4 (2014),Asus,2014/05,"Android 4.1 ""Jelly Bean""",[9]
Asus ZenFone 6 (2014),Asus,2014/05,"Android 4.1 ""Jelly Bean""",[10]
Asus PadFone S/X,Asus,2014/06,"Android 4.4 ""KitKat""",[11][12]
Asus ZenFone 4.5 (2014),Asus,2014/07,"Android 4.4 ""KitKat""",[13]
Asus ZenFone 5 (2014),Asus,2014/07,"Android 4.4 ""KitKat""",[14]
Asus PadFone X mini,Asus,2014/10,"Android 4.4 ""KitKat""",[15]
Asus Pegasus (X002),Asus,2014/12,"Android 4.4 ""KitKat""",[16]
Asus ZenFone 5 (2015),Asus,2015/01,"Android 4.1 ""Jelly Bean""",[17]
Asus ZenFone 2,Asus,2015/03,"Android 5.0 ""Lollipop""",[18][19][20]
Asus ZenFone 3,Asus,2016/08,"Android 6.0 ""Marshmallow""",[21][22]
Asus ZenFone 4,Asus,2017/10,"Android 7.0 ""Nougat""",[23]
Asus ZenFone Max Plus M1,Asus,2017/11,"Android 7.0 ""Nougat""",[24]
Asus ZenFone Max M1,Asus,2018/05,"Android 8.0 ""Oreo""",[25][26]
Asus ZenFone Max Pro M1,Asus,2018/05,"Android 8.0 ""Oreo""",[27]
Asus ZenFone 5,Asus,2018/05,"Android 8.0 ""Oreo""",[28]
